_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
176,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,14 Hour,238
177,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Afternoon (12:00-17:00),64
178,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,AM Peak Period (07:00-10:00),98
179,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Evening (17:00-22:00),56
180,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Midday (10:00-16:00),72
181,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Morning (08:00-12:00),101
182,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,PM Peak Period (16:00-19:00),48
183,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,14 Hour,5401
184,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Afternoon (12:00-17:00),1799
185,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,AM Peak Period (07:00-10:00),1425
186,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Evening (17:00-22:00),1739
187,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Midday (10:00-16:00),2124
188,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Morning (08:00-12:00),1761
189,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,PM Peak Period (16:00-19:00),1519
190,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,14 Hour,7649
191,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Afternoon (12:00-17:00),3579
192,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,AM Peak Period (07:00-10:00),1167
193,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Evening (17:00-22:00),2633
194,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Midday (10:00-16:00),3508
195,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Morning (08:00-12:00),1750
196,Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,PM Peak Period (16:00-19:00),2538
197,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,14 Hour,721
198,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Afternoon (12:00-17:00),317
199,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,AM Peak Period (07:00-10:00),83
200,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Evening (17:00-22:00),298
201,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Midday (10:00-16:00),366
202,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Morning (08:00-12:00),181
203,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,PM Peak Period (16:00-19:00),206
204,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,14 Hour,396
205,Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Afternoon (12:00-17:00),151
